Inst,0.50,0.60,0.70,0.80,0.90,1.00
1,1.00,1.00,1.00,1.00,1.00,1.00
2,0.55,0.56,0.56,0.56,0.56,0.56
3,0.82,0.82,0.83,0.83,0.84,0.84
4,0.99,0.99,1.00,1.00,1.00,1.00
5,0.91,0.93,0.93,0.92,0.91,0.90
6,0.97,0.97,0.96,0.96,0.95,1.00
7,1.00,1.00,1.00,1.00,1.00,1.00
8,0.72,0.74,0.76,0.75,0.88,0.90
9,0.44,0.44,0.44,0.44,0.44,0.44
10,0.68,0.68,0.68,0.68,0.68,0.68
11,0.38,0.38,0.38,0.38,0.38,0.38
12,0.83,0.82,0.86,0.86,0.86,0.86
13,0.64,0.64,0.64,0.64,0.64,0.63
14,0.76,0.76,0.76,0.76,0.76,0.76
15,0.99,1.00,1.00,1.00,1.00,1.00
16,0.75,0.75,0.75,0.75,0.75,0.75
17,0.75,0.75,0.75,0.75,0.75,0.75
18,0.56,0.56,0.64,0.64,0.64,0.64
19,0.60,0.64,0.64,0.65,0.66,0.66
20,0.72,0.71,0.70,0.69,0.69,0.69
21,0.84,0.84,0.84,0.83,0.83,0.83
22,0.68,0.67,0.67,0.67,0.67,0.66
23,0.39,0.39,0.39,0.39,0.39,0.39
24,0.70,0.69,0.69,0.68,0.68,0.67
25,0.67,0.66,0.69,0.69,0.69,0.68
26,0.65,0.65,0.64,0.64,0.69,0.69
27,0.75,0.75,0.75,0.75,0.74,0.74
28,0.59,0.60,0.60,0.60,0.59,0.59
29,0.58,0.58,0.58,0.58,0.58,0.58
30,0.67,0.67,0.67,0.67,0.67,0.67
31,0.60,0.61,0.64,0.62,0.61,0.59
32,0.72,0.73,0.74,0.74,0.75,0.75
33,0.59,0.58,0.57,0.57,0.56,0.55
34,0.77,0.77,0.77,0.77,0.76,0.76
35,0.58,0.57,0.57,0.56,0.56,0.55
36,0.42,0.42,0.42,0.42,0.42,0.41
37,0.97,0.97,0.97,0.97,0.97,0.96
38,0.46,0.47,0.46,0.45,0.45,0.44
39,0.71,0.72,0.76,0.76,0.76,0.76
40,0.60,0.59,0.59,0.59,0.59,0.58
41,0.75,0.75,0.75,0.75,0.75,0.75
42,0.84,0.84,0.84,0.84,0.84,0.84
43,0.64,0.64,0.64,0.64,0.63,0.63
44,0.58,0.61,0.60,0.60,0.59,0.59
45,0.70,0.73,0.73,0.73,0.73,0.73
46,0.61,0.62,0.62,0.61,0.61,0.61
47,0.63,0.63,0.63,0.63,0.63,0.63
